swda_filename,ptb_basename,conversation_no,transcript_index,act_tag,caller,utterance_index,subutterance_index,text,pos,trees,ptb_treenumbers
sw10utt/sw_1000_2292.utt,2/sw2292,2292,0,fp,A,1,1,"Hi, Kay.  /","Hi/UH ,/, Kay/NNP ./.",,
sw10utt/sw_1000_2292.utt,2/sw2292,2292,1,fp,B,2,1,Hi. /,Hi/UH ./.,,
sw10utt/sw_1000_2292.utt,2/sw2292,2292,2,qw,A,3,1,"I, {F uh, } <noise> was thinking about salaries and benefits and --","I/PRP ,/, uh/UH ,/, was/VBD thinking/VBG about/IN salaries/NNS and/CC benefits/NNS and/CC --/:",,
sw10utt/sw_1000_2292.utt,2/sw2292,2292,3,b,B,4,1,Uh-huh. /,Uh-huh/UH ./.,,
sw10utt/sw_1000_2292.utt,2/sw2292,2292,4,+,A,5,1,"-- {F uh, } was wondering what's the most important thing to you besides a salary in a job. /","--/: uh/UH ,/, was/VBD wondering/VBG what/WP 's/BES the/DT most/RBS important/JJ thing/NN to/IN you/PRP besides/IN a/DT salary/NN in/IN a/DT job/NN ./.",,
sw10utt/sw_1000_2292.utt,2/sw2292,2292,5,sd,B,6,1,"{D Well, } {F um, } [ I, + we ] just recently graduated from Rice University,  /","Well/UH ,/, um/UH ,/, I/PRP ,/, we/PRP just/RB recently/RB graduated/VBD from/IN Rice/NNP University/NNP ,/,",,
sw10utt/sw_1000_2292.utt,2/sw2292,2292,6,sd,B,6,2,"{C and, } {F uh, } we were going through a lot of job interviews and things,  /","and/CC ,/, uh/UH ,/, we/PRP were/VBD going/VBG through/IN a/DT lot/NN of/IN job/NN interviews/NNS and/CC things/NNS ,/,",,
sw10utt/sw_1000_2292.utt,2/sw2292,2292,7,sd,B,6,3,"{C and } some of the things that were important to me, {F uh, } when my husband was looking for his job, was, {F um, } hours, {D you know, }  /","and/CC some/DT of/IN the/DT things/NNS that/WDT were/VBD important/JJ to/IN me/PRP ,/, uh/UH ,/, when/WRB my/PRP$ husband/NN was/VBD looking/VBG for/IN his/PRP$ job/NN ,/, was/VBD ,/, um/UH ,/, hours/NNS ,/, you/PRP know/VBP ,/,",,
sw10utt/sw_1000_2292.utt,2/sw2292,2292,8,%,B,6,4,"we, - /","we/PRP ,/,",,
sw10utt/sw_1000_2292.utt,2/sw2292,2292,9,sd,B,6,5,he'd been in graduate school so I was used to his not being home at all <laughter>. /,he/PRP 'd/MD been/VBN in/IN graduate/JJ school/NN so/RB I/PRP was/VBD used/VBN to/TO his/PRP$ not/RB being/VBG home/RB at/IN all/DT ./.,,
sw10utt/sw_1000_2292.utt,2/sw2292,2292,10,b,A,7,1,Yeah  /,Yeah/UH,,
sw10utt/sw_1000_2292.utt,2/sw2292.pos,2292,11,x,A,7,2,<laughter>.,./.
sw10utt/sw_1000_2292.utt,2/sw2292,2292,12,sd,B,8,1,"{C So } I [ was, + ] {D you know, }  didn't want him to have a job that would make him kind of be on call all the time, and have to go in at any time, and --","So/RB I/PRP was/VBD ,/, you/PRP know/VBP ,/, did/VBD n't/RB want/VB him/PRP to/TO have/VB a/DT job/NN that/WDT would/MD make/VB him/PRP kind/RB of/RB be/VB on/IN call/NN all/PDT the/DT time/NN ,/, and/CC have/VBP to/TO go/VB in/RB at/IN any/DT time/NN ,/, and/CC --/:",,
sw10utt/sw_1000_2292.utt,2/sw2292,2292,13,b,A,9,1,Uh-huh. /,Uh-huh/UH ./.,,
sw10utt/sw_1000_2292.utt,2/sw2292,2292,14,+,B,10,1,"-- {D you know, } even on the weekends [ and, + {F um, } and  ] things.  /","--/: you/PRP know/VBP ,/, even/RB on/IN the/DT weekends/NNS and/CC ,/, um/UH ,/, and/CC things/NNS ./.",,
sw10utt/sw_1000_2292.utt,2/sw2292,2292,15,sd,B,10,2,"{C So } that was important to me, and also insurance for [ the fa-, + our family  ] --","So/RB that/DT was/VBD important/JJ to/IN me/PRP ,/, and/CC also/RB insurance/NN for/IN the/DT fa-/NN ,/, our/PRP$ family/NN --/:",,
sw10utt/sw_1000_2292.utt,2/sw2292,2292,16,b,A,11,1,Sure. /,Sure/UH ./.,,
sw10utt/sw_1000_2292.utt,2/sw2292,2292,17,+,B,12,1,-- {C because } we'd like to be able to take care of our medical needs and not be thinking so much about whether or not you can afford it. /,--/: because/RB we/PRP 'd/MD like/VB to/TO be/VB able/JJ to/TO take/VB care/NN of/IN our/PRP$ medical/JJ needs/NNS and/CC not/RB be/VB thinking/VBG so/RB much/JJ about/IN whether/IN or/CC not/RB you/PRP can/MD afford/VB it/PRP ./.,,
sw10utt/sw_1000_2292.utt,2/sw2292,2292,18,b,A,13,1,"Yeah,  /","Yeah/UH ,/,",,
sw10utt/sw_1000_2292.utt,2/sw2292,2292,19,sd,A,13,2,I don't ever want to have to worry about that.  /,I/PRP do/VBP n't/RB ever/RB want/VB to/TO have/VB to/TO worry/VB about/IN that/DT ./.,,
sw10utt/sw_1000_2292.utt,2/sw2292,2292,20,sd,A,13,3,That's real important to me.  /,That/DT 's/BES real/RB important/JJ to/IN me/PRP ./.,,
sw10utt/sw_1000_2292.utt,2/sw2292,2292,21,sd,A,13,4,"{F Um, } {D you know } we have [ that, + that  ] Aetna -- /","Um/UH ,/, you/PRP know/VBP we/PRP have/VBP that/DT ,/, that/DT Aetna/NNP --/:",,
sw10utt/sw_1000_2292.utt,2/sw2292,2292,22,b,B,14,1,Uh-huh. /,Uh-huh/UH ./.,,
sw10utt/sw_1000_2292.utt,2/sw2292,2292,23,sd,A,15,1,"-- that's [ what we, + ] the insurance that we have right now. /","--/: that/DT 's/BES what/WP we/PRP ,/, the/DT insurance/NN that/WDT we/PRP have/VBP right/RB now/RB ./.",,
