swda_filename,ptb_basename,conversation_no,transcript_index,act_tag,caller,utterance_index,subutterance_index,text,pos,trees,ptb_treenumbers
sw12utt/sw_1200_2121.utt,2/sw2121,2121,0,o,A,1,1,"Okay, {F uh, }  /","Okay/UH ,/, uh/UH ,/,","(INTJ (INTJ (UH Okay)) (, ,) (INTJ (UH uh)) (, ,) (-DFL- E_S))",1
sw12utt/sw_1200_2121.utt,2/sw2121,2121,1,qw,A,1,2,"could you tell me what you think contributes most to, {F uh, } air pollution? /","could/MD you/PRP tell/VB me/PRP what/WP you/PRP think/VBP contributes/VBZ most/RBS to/IN ,/, uh/UH ,/, air/NN pollution/NN ?/.","(SQ (MD could) (NP-SBJ (PRP you)) (VP (VB tell) (NP (PRP me)) (SBAR (WHNP-1 (WP what)) (S (NP-SBJ (PRP you)) (VP (VBP think) (SBAR (-NONE- 0) (S (NP-SBJ (-NONE- *T*-1)) (VP (VBZ contributes) (ADVP (RBS most)) (PP (IN to) (, ,) (INTJ (UH uh)) (, ,) (NP (NN air) (NN pollution)))))))))) (. ?) (-DFL- E_S))",2
sw12utt/sw_1200_2121.utt,2/sw2121,2121,2,^h,B,2,1,"{D Well, } it's hard to say.  /","Well/UH ,/, it/PRP 's/BES hard/JJ to/TO say/VB ./.","(S (INTJ (UH Well)) (, ,) (NP-SBJ (PRP it)) (VP (BES 's) (ADJP-PRD (JJ hard) (SBAR (WHNP-1 (-NONE- 0)) (S (NP-SBJ (-NONE- *)) (VP (TO to) (VP (VB say) (NP (-NONE- *T*-1)))))))) (. .) (-DFL- E_S))",4
sw12utt/sw_1200_2121.utt,2/sw2121,2121,3,sv,B,2,2,"{E I mean, } while it's certainly the case that things like automobiles and factories, {F uh, } pollute a lot, {F uh, } if you look at how much pollution is say kicked up by an active volcano, {F uh, } it's certainly less than clear that anything man can do in this sort of scale of things has much effect at all.  /","I/PRP mean/VBP ,/, while/IN it/PRP 's/BES certainly/RB the/DT case/NN that/IN things/NNS like/IN automobiles/NNS and/CC factories/NNS ,/, uh/UH ,/, pollute/VBP a/DT lot/NN ,/, uh/UH ,/, if/IN you/PRP look/VBP at/IN how/WRB much/JJ pollution/NN is/VBZ say/UH kicked/VBN up/RP by/IN an/DT active/JJ volcano/NN ,/, uh/UH ,/, it/PRP 's/BES certainly/RB less/JJR than/IN clear/JJ that/IN anything/NN man/NN can/MD do/VB in/IN this/DT sort/NN of/IN scale/NN of/IN things/NNS has/VBZ much/JJ effect/NN at/IN all/DT ./.","(S (PRN (S (NP-SBJ (PRP I)) (VP (VBP mean))) (, ,)) (SBAR-ADV (IN while) (S (NP-SBJ (NP (PRP it)) (SBAR (-NONE- *EXP*-1))) (VP (BES 's) (ADVP (RB certainly)) (NP-PRD (DT the) (NN case)) (SBAR-1 (IN that) (S (NP-SBJ (NP (NNS things)) (PP (IN like) (NP (NNS automobiles) (CC and) (NNS factories)))) (, ,) (INTJ (UH uh)) (, ,) (VP (VBP pollute) (NP-ADV (DT a) (NN lot)))))))) (, ,) (INTJ (UH uh)) (, ,) (SBAR-ADV (IN if) (S (NP-SBJ (PRP you)) (VP (VBP look) (PP (IN at) (SBAR-NOM (WHNP-2 (WHADJP (WRB how) (JJ much)) (NN pollution)) (S (NP-SBJ-3 (-NONE- *T*-2)) (VP (VBZ is) (INTJ (UH say)) (VP (VBN kicked) (NP (-NONE- *-3)) (PRT (RP up)) (PP (IN by) (NP-LGS (DT an) (JJ active) (NN volcano))))))))))) (, ,) (INTJ (UH uh)) (, ,) (NP-SBJ (NP (PRP it)) (SBAR (-NONE- *EXP*-4))) (VP (BES 's) (ADVP (RB certainly)) (ADJP-PRD (ADJP (JJR less)) (PP (IN than) (ADJP (JJ clear)))) (SBAR-4 (IN that) (S (NP-SBJ (NP (NN anything)) (SBAR (WHNP-5 (-NONE- 0)) (S (NP-SBJ (NN man)) (VP (MD can) (VP (VB do) (NP (-NONE- *T*-5)) (PP-LOC (IN in) (NP (NP (DT this) (NN sort)) (PP (IN of) (NP (NP (NN scale)) (PP (IN of) (NP (NNS things)))))))))))) (VP (VBZ has) (NP (JJ much) (NN effect)) (ADVP (IN at) (DT all)))))) (. .) (-DFL- E_S))",5
sw12utt/sw_1200_2121.utt,2/sw2121,2121,4,qo,B,2,3,What do you think? /,What/WP do/VBP you/PRP think/VB ?/.,(SBARQ (WHNP-1 (WP What)) (SQ (VBP do) (NP-SBJ (PRP you)) (VP (VB think) (NP (-NONE- *T*-1)))) (. ?) (-DFL- E_S)),6
sw12utt/sw_1200_2121.utt,2/sw2121,2121,5,sd,A,3,1,"{F Um, } {D well, } you talked about, {F uh, } volcanos.  /","Um/UH ,/, well/UH ,/, you/PRP talked/VBD about/IN ,/, uh/UH ,/, volcanos/NNS ./.","(S (INTJ (UH Um)) (, ,) (INTJ (UH well)) (, ,) (NP-SBJ (PRP you)) (VP (VBD talked) (PP (IN about) (, ,) (INTJ (UH uh)) (, ,) (NP (NNS volcanos)))) (. .) (-DFL- E_S))",8
sw12utt/sw_1200_2121.utt,2/sw2121,2121,6,sd,A,3,2,"I'm not sure how many active volcanos there are now, [ and, + and ] what the amount of material that they do, {F uh, } put into the atmosphere.  /","I/PRP 'm/VBP not/RB sure/JJ how/WRB many/JJ active/JJ volcanos/NNS there/EX are/VBP now/RB ,/, and/CC ,/, and/CC what/WP the/DT amount/NN of/IN material/NN that/WDT they/PRP do/VBP ,/, uh/UH ,/, put/VB into/IN the/DT atmosphere/NN ./.","(S (NP-SBJ (PRP I)) (VP (VBP 'm) (RB not) (ADJP-PRD (JJ sure) (SBAR (SBAR (WHNP-1 (WHADJP (WRB how) (JJ many)) (JJ active) (NNS volcanos)) (S (NP-SBJ (EX there)) (VP (VBP are) (NP-PRD (-NONE- *T*-1)) (ADVP-TMP (RB now))))) (, ,) (EDITED (RM (-DFL- \[)) (CC and) (, ,) (IP (-DFL- \+))) (CC and) (RS (-DFL- \])) (SBAR (WHNP (WP what)) (S-UNF (NP-SBJ (NP (DT the) (NN amount)) (PP (IN of) (NP (NN material))) (SBAR (WHNP-2 (WDT that)) (S (NP-SBJ (PRP they)) (VP (VBP do) (, ,) (INTJ (UH uh)) (, ,) (VP (VB put) (NP (-NONE- *T*-2)) (PP-PUT (IN into) (NP (DT the) (NN atmosphere))))))))))))) (. .) (-DFL- E_S))",9
sw12utt/sw_1200_2121.utt,2/sw2121,2121,7,sv,A,3,3,"I think probably the greatest cause is, {F uh, } vehicles,","I/PRP think/VBP probably/RB the/DT greatest/JJS cause/NN is/VBZ ,/, uh/UH ,/, vehicles/NNS ,/,","(S (NP-SBJ (PRP I)) (VP (VBP think) (SBAR (-NONE- 0) (S (ADVP (RB probably)) (NP-SBJ (DT the) (JJS greatest) (NN cause)) (VP (VBZ is) (, ,) (INTJ (UH uh)) (, ,) (NP-PRD (NNS vehicles)) (, ,) (PP-LOC (ADVP (RB especially)) (IN around) (NP (NNS cities))))))) (. .) (-DFL- E_S))",10
sw12utt/sw_1200_2121.utt,2/sw2121,2121,8,b,B,4,1,Uh-huh. /,Uh-huh/UH ./.,(INTJ (UH Uh-huh) (. .) (-DFL- E_S)),12
sw12utt/sw_1200_2121.utt,2/sw2121,2121,9,+,A,5,1,especially around cities.  /,especially/RB around/IN cities/NNS ./.,"(S (NP-SBJ (PRP I)) (VP (VBP think) (SBAR (-NONE- 0) (S (ADVP (RB probably)) (NP-SBJ (DT the) (JJS greatest) (NN cause)) (VP (VBZ is) (, ,) (INTJ (UH uh)) (, ,) (NP-PRD (NNS vehicles)) (, ,) (PP-LOC (ADVP (RB especially)) (IN around) (NP (NNS cities))))))) (. .) (-DFL- E_S))",10
sw12utt/sw_1200_2121.utt,2/sw2121,2121,10,qy,A,5,2,"{F Um, } {F uh, } do you live right in the city itself? /","Um/UH ,/, uh/UH ,/, do/VBP you/PRP live/VB right/RB in/IN the/DT city/NN itself/PRP ?/.","(SQ (INTJ (UH Um)) (, ,) (INTJ (UH uh)) (, ,) (VBP do) (NP-SBJ (PRP you)) (VP (VB live) (PP-LOC (ADVP (RB right)) (IN in) (NP (NP (DT the) (NN city)) (NP (PRP itself))))) (. ?) (-DFL- E_S))",14
sw12utt/sw_1200_2121.utt,2/sw2121,2121,11,nn,B,6,1,"No,  /","No/UH ,/,","(INTJ (UH No) (, ,) (-DFL- E_S))",16
sw12utt/sw_1200_2121.utt,2/sw2121,2121,12,sd^e,B,6,2,"I'm more out in the suburbs,  /","I/PRP 'm/VBP more/RBR out/IN in/IN the/DT suburbs/NNS ,/,","(S (NP-SBJ (PRP I)) (VP (VBP 'm) (ADVP (RBR more)) (PP-LOC-PRD (IN out) (PP (IN in) (NP (DT the) (NNS suburbs))))) (, ,) (-DFL- E_S))",17
