swda_filename,ptb_basename,conversation_no,transcript_index,act_tag,caller,utterance_index,subutterance_index,text,pos,trees,ptb_treenumbers
sw09utt/sw_0900_2339.utt,2/sw2339,2339,0,o,A,1,1,Okay.  /,Okay/UH ./.,,
sw09utt/sw_0900_2339.utt,2/sw2339,2339,1,sd,A,1,2,"I was thinking about camping and [ different i-, + people's ideas ] about it. /","I/PRP was/VBD thinking/VBG about/IN camping/NN and/CC different/JJ i-/NNS ,/, people/NNS 's/POS ideas/NNS about/IN it/PRP ./.",,
sw09utt/sw_0900_2339.utt,2/sw2339,2339,2,b,B,2,1,Uh-huh. /,Uh-huh/UH ./.,,
sw09utt/sw_0900_2339.utt,2/sw2339,2339,3,sd,A,3,1,<Throat_clearing> We've even seen people with these campers  /,We/PRP 've/VBP even/RB seen/VBN people/NNS with/IN these/DT campers/NNS,,
sw09utt/sw_0900_2339.utt,2/sw2339,2339,4,sd,A,3,2,{C and } they got the big old antennas up so they can watch their T V when they're going. /,and/CC they/PRP got/VBN the/DT big/JJ old/JJ antennas/NNS up/RB so/IN they/PRP can/MD watch/VB their/PRP$ T/NN V/NN when/WRB they/PRP 're/VBP going/VBG ./.,,
sw09utt/sw_0900_2339.utt,2/sw2339,2339,5,aa,B,4,1,Right or # their # --,Right/UH or/CC their/PRP$ --/:,,
sw09utt/sw_0900_2339.utt,2/sw2339,2339,6,%,A,5,1,"# That's not, # -/","That/DT 's/BES not/RB ,/,",,
sw09utt/sw_0900_2339.utt,2/sw2339,2339,7,+,B,6,1,-- satellite dish <laughter>. /,--/: satellite/NN dish/NN ./.,,
sw09utt/sw_0900_2339.utt,2/sw2339,2339,8,b,A,7,1,Yeah  /,Yeah/UH,,
sw09utt/sw_0900_2339.utt,2/sw2339,2339,9,qy^m,A,7,2,<laughter>.  A satellite dish? /,./. A/DT satellite/NN dish/NN ?/.,,
sw09utt/sw_0900_2339.utt,2/sw2339,2339,10,sd,B,8,1,On top of the recreational vehicles. /,On/IN top/NN of/IN the/DT recreational/JJ vehicles/NNS ./.,,
sw09utt/sw_0900_2339.utt,2/sw2339,2339,11,ba,A,9,1,"{F Oh, } golly! <Laughter>. /","Oh/UH ,/, golly/UH !/. ./.",,
sw09utt/sw_0900_2339.utt,2/sw2339,2339,12,x,B,10,1,<Laughter>.,,,
sw09utt/sw_0900_2339.utt,2/sw2339,2339,13,sd,A,11,1,That's not the kind we do.  /,That/DT 's/BES not/RB the/DT kind/NN we/PRP do/VBP ./.,,
sw09utt/sw_0900_2339.utt,2/sw2339,2339,14,qy,A,11,2,Do you go camping? /,Do/VBP you/PRP go/VB camping/VBG ?/.,,
sw09utt/sw_0900_2339.utt,2/sw2339,2339,15,ny,B,12,1,Yeah.  /,Yeah/UH ./.,,
sw09utt/sw_0900_2339.utt,2/sw2339,2339,16,sd^e,B,12,2,We have a little bit  /,We/PRP have/VBP a/DT little/JJ bit/NN,,
sw09utt/sw_0900_2339.utt,2/sw2339,2339,17,sd,B,12,3,"{C and } we've just gotten one of those little tents <laughter>,","and/CC we/PRP 've/VBP just/RB gotten/VBN one/CD of/IN those/DT little/JJ tents/NNS ,/,",,
sw09utt/sw_0900_2339.utt,2/sw2339,2339,18,x,A,13,1,<Laughter>.,,,
sw09utt/sw_0900_2339.utt,2/sw2339,2339,19,+,B,14,1,that we throw out on the ground  /,that/WDT we/PRP throw/VBP out/IN on/IN the/DT ground/NN,,
sw09utt/sw_0900_2339.utt,2/sw2339,2339,20,sd,B,14,2,{C and } that's what we camp in.  /,and/CC that/DT 's/BES what/WP we/PRP camp/VBP in/IN ./.,,
sw09utt/sw_0900_2339.utt,2/sw2339,2339,21,sd,B,14,3,{D So } we kind of rough it. /,So/UH we/PRP kind/RB of/RB rough/VBP it/PRP ./.,,
sw09utt/sw_0900_2339.utt,2/sw2339,2339,22,sd,A,15,1,"{D Well, } so do we.  /","Well/UH ,/, so/RB do/VBP we/PRP ./.",,
